name,typical_majors,all_eligible_classifications,typical_classifications,eligible_races,eligible_gender,eligible_sexuality,meeting_frequency,meeting_times,meeting_locations,dues_required,dues_cost,application_required,application_difficulty,time_commitment,member_count,club_type,competitive_or_non_competitive,leadership_roles_available,new_member_onboarding_process,typical_activities,required_skills,offered_skills_or_benefits,club_culture_style,inclusivity_focus,expected_member_traits,administrative_contact_info,website,national_local_affiliation,bio
Aggie Aerospace Women in Engineering,Engineering,,"Junior, Senior, Graduate",,Women,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,"Social events, Professional events, Academic activities",,"Networking, Mentorship",Social,,Interest-driven,aggieawe@gmail.com,,,"To support and encourage women at the Texas A&M Department of Aerospace Engineering through social, professional, and academic events, as well as to build a social community in the aerospace department."
Aggie Ambassadors,"Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,,https://sites.google.com/tamu.edu/med1,No,The Mission of Aggie Ambassadors is to extend a warm Aggie welcome to the rising M1 class at Texas A&M University College of Medicine and to support them throughout their transition to medical school.
Aggie Angels,,Undergraduate,Undergraduate,,Women,,,,,,,No,Low,Low,20-50,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,aggieangels@gmail.com,http://aggieangels12.wixsite.com/angels,,Aggie Angels is a support group for the TAMU basketball teams. On game days we sit together as a group and cheer on our fellow Aggies. We create a social environment that promotes a close sisterhood among our members.
Aggie Arm-Wrestling Club,,,Undergraduate,,,,,,,,,No,Low,Medium,0-20,Sports,Yes,Yes,,"Competitions, Social events",,Networking,Social,,Interest-driven,,,,"Aggie Arm-Wrestling seeks to promote the sport of arm wrestling through recreational competition, practice, fellowship and coaching."
The Aggie Arthouse,,Undergraduate,Undergraduate,,,,,,,,,No,Low,Medium,0-20,Creative,No,Yes,,Social events,,Networking,Social,,Interest-driven,theaggiearthouse@gmail.com,http://theaggiearthouse.org,No,"We are a film society founded on the TAMU Campus. Our mission is to organize screenings of foreign, independent, and classic cinema and market the events to the greater student body of Texas A&M to bring together an inclusive and diverse community of movie lovers."
Aggie Artificial Intelligence Society,"Computer Science, Engineering",,"Junior, Senior",,,,Bi-weekly,,,No,,No,Low,Medium,20-50,Academic,No,Yes,,Projects,,Networking,Academic-focused,,Interest-driven,,https://tamuaais.wordpress.com/,No,"To further the understanding and advancement of artificial intelligence and its sub-fields, as well as provide a community of support for those students interested in artificial intelligence."
Aggie Aspiring Educators,Education,,"Junior, Senior, Graduate",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,aggieaspiringeducators@gmail.com,https://sites.google.com/view/aggieaspiringeducators/home,Yes,We are an award-winning organization whose goal is to prepare members for the world of education and make meaningful connections with other Aggie educators. We have various speakers ranging from current student teachers to professionals in the field of education to provide up-to-date knowledge.
Aggie Athletic Trainers' Association,,Undergraduate,All majors welcome,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Networking,Social,,Interest-driven,aggieat@gmail.com,,,"The purpose of this organization shall be to broaden the student athletic trainers knowledge, to identify job opportunities, to encourage the education of the general public concerning athletic training, and to serve as a community service."
Aggie Babes,,,Undergraduate,,Women,,,,,,,No,Low,Low,50-100,Social,No,Yes,,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,aggiebabes.tamu@gmail.com,https://aggiebabes.org,No,"As BABES, we aim to create a tight-knit sisterhood for students from all different walks of life. Through this, we endeavor to allow our members to make life-long lasting friends, while giving back to our Aggie Community and bonding."
Aggie Ballet Company,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Creative,No,Yes,,"Workshops, Social events, Performances",,"Networking, Leadership development",Social,,Interest-driven,aggieballetco@gmail.com,,,"Aggie Ballet Company is the premier Texas A&M student-run ballet company that performs classical ballet, modern, and contemporary dance. Our organization provides weekly ballet and pointe classes with student-teachers or local professionals, along with occasional master classes."
Aggie Bandsmen,,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,50-100,Other,No,Yes,,Social events,,Leadership development,Social,,Interest-driven,gburleson@tamu.edu,https://musa.tamu.edu/aggie-band/,,To develop bandsmen who are well-educated leaders of character that represent Texas A&M University honorably and respectfully on and off the drill field.
Aggie Barbeque Club,,,All majors welcome,,,,,,,,,No,Low,Low,20-50,Social,No,Yes,,Social events,,Networking,Social,,Interest-driven,aggiebarbequeclub@gmail.com,http://aggiebarbequeclub.com,,The Aggie Barbeque Club seeks to act as a medium in which members of the A&M community come together to cultivate and embrace the culture of Texas barbeque.
Aggie Belles,,Undergraduate,Undergraduate,,Women,,,,,,,No,Low,Low,20-50,Social,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,aggiebellesofficers@gmail.com,http://aggiebelles.com,,"Aggie Belles is a women's organization that unites and develops female leaders across campus through service opportunities, philanthropy and social events."
Aggie Black Male Connection,,,Undergraduate,"Black, African American",Men,,,,,,,Yes,High,Medium,20-50,Cultural,No,Yes,Interview,"Social events, Volunteering",,"Networking, Mentorship",Social,,Interest-driven,ceo.abmc@gmail.com,https://aggieblackmaleconnection.godaddysites.com/,,"The mission of ABMC is to develop a sense of mattering and connection to the institution, work together toward a common purpose, and serve as role models and build community with other Black males on campus."
Aggie Blacksmithing Club,,,Undergraduate,,,,,,,No,,Yes,Medium,Medium,20-50,Creative,No,Yes,,Workshops,,Networking,Chill,,Interest-driven,contact@aggieblacksmithing.org,https://aggieblacksmithing.org/,No,Our mission is to practice and educate individuals in the field of blacksmithing and metalworking. We aim to teach individuals to safely and effectively learn the art of blacksmithing.
Aggie Blades,,,,,,,,,,No,,No,Low,Medium,0-20,Sports,Yes,Yes,,Competitions,,Networking,Very active,,Interest-driven,aggieblades@gmail.com,https://aggieblades.com,No,Aggie Blades aims to train students in the sport of axe throwing to expand the current community into Texas A&M University. Our goal is to engage more people in this rising sport while creating a new outlet for students.
Aggie Blossoms,,Undergraduate,Undergraduate,,Women,,,,,No,,No,Low,Low,20-50,Social,No,Yes,,Social events,,"Networking, Leadership development",Social,,Interest-driven,aggieblossoms@gmail.com,http://aggieblossoms.com,No,"Our mission as an organization consists of building strong women through the promotion of our five pillars: Leadership, Sisterhood, Scholarship, Personal Development, and Philanthropy. We provide a comfortable and open environment for each woman to thrive as a leader, creating long lasting bonds through fun and social events."
Aggie Boxing Club,,,Undergraduate,,,,,,,No,,No,Low,High,0-20,Sports,Yes,Yes,,Competitions,,Networking,Athletic,,High commitment,aggieboxingclub@gmail.com,,,"The Aggie Boxing Club cultivates strength, discipline, and camaraderie within the Texas A&M community through the art and sport of boxing. We provide a platform for members of all skill levels to develop their physical and mental fortitude, fostering personal growth and sportsmanship through training, competition, and community engagement, while upholding the Aggie spirit of selfless service."
Aggie Business Brothers,"Business, Finance, Accounting, Marketing, Economics",,"Junior, Senior, Graduate",,Men,,,,,,,Yes,Medium,Medium,20-50,Professional,No,Yes,Interview,"Workshops, Social events, Volunteering",,"Networking, Mentorship, Leadership development",Professional,,High commitment,aggiebusinessbrothers@gmail.com,https://www.aggiebusinessbrothers.com,,"Being a premier professional men's organization on campus, we strive to introduce a passion for professionalism that will lead members to successful career opportunities. We will place an emphasis on brotherhood and unity in order to create a culture of integrity and excellence by bringing together members with a shared love for our university and our core values."
Aggie Business Kings,"Business, Finance, Accounting, Marketing, Economics",,"Junior, Senior",,,,,,,,,No,Low,Medium,20-50,Professional,No,Yes,,"Social events, Networking",,"Networking, Mentorship, Leadership development",Social,,Interest-driven,aggiebusinesskings@gmail.com,https://www.tamuaggiebusinesskings.com/,No,"We strive to develop young men into experienced business professionals and leaders by participating in team-building activities, attending business events, and sharing valuable connections within our organization."
Aggie Camping,,,Undergraduate,,,,,,,,,No,Low,Medium,20-50,Social,No,Yes,,Trips,,Networking,Social,,Interest-driven,aggiecamping@gmail.com,,,To enrich the lives of students through shared experiences in nature. Aggie Camping strives to create a supportive environment for students to join together and experience friendship and the outdoors. We bring together a strong group of like-minded and environmentally conscious individuals. We promote conservation and sustainability for the environment.
Aggie Classics,,,Undergraduate,,Women,,,,,,,Yes,High,Medium,20-50,Social,No,Yes,,Volunteering,,"Networking, Mentorship",Social,,Interest-driven,aggieclassicstamu@gmail.com,http://aggieclassics.wixsite.com/aggieclassics,,"Aggie Classics seek to provide a comforting and welcoming environment to develop well-rounded women equipped to make an impact at Texas A&M and beyond. We will accomplish this through our four pillars of community, philanthropy, integrity and sisterhood."
Aggie Climbing Club,,,All majors welcome,,,,,,,Yes,,No,Low,Medium,20-50,Sports,Yes,Yes,,Trips,,Networking,Very active,Yes,Interest-driven,aggieclimbingcommunity@gmail.com,,No,"Our mission is to foster climbing accessibility and expand our reach within the community by providing a welcoming and supportive environment for climbers of all skill levels. We aim to promote a culture of safety, inclusivity, and responsible climbing practices."
Aggie Club of Engineers,Engineering,Undergraduate,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,"Social events, Volunteering",,"Networking, Leadership development",Social,,Interest-driven,tamuacepresident@gmail.com,http://aggieclubofengineers.org,No,"Aggie Club of Engineers is a social, service, and leadership organization strongly rooted in academics. It aims to develop members as successful Aggies and leaders through a primary emphasis on academic success and character development while also improving Aggieland through focuses on service."
Aggie Coding Club,"Computer Science, Engineering",,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Projects",,"Networking, Technical skills",Social,,Interest-driven,aggiecodingclub@gmail.com,http://aggiecodingclub.com,No,"The Aggie Coding Club exists to help members build skills and find opportunities in the computer science industry through company talks and recruiting opportunities, workshops, member-led student projects, and organization socials."
Aggie Competitive Programming Club,"Computer Science, Engineering",,All majors welcome,,,,,,,No,,No,Low,Medium,20-50,Academic,Yes,Yes,,Competitions,,Technical skills,Academic-focused,,Interest-driven,contact@tamuacpc.com,,,"Aggie Competitive Programming Club serves the student body of Texas A&M by providing members with the opportunity to learn, practice, and teach others competitive programming techniques and algorithmic problem-solving skills."
Aggie Cricket Club,,,All majors welcome,,,,,,,No,,No,Low,High,20-50,Sports,Yes,Yes,,Competitions,,Networking,Very active,,Interest-driven,acc@acc.tamu.edu,,,"To promote and encourage the understanding and playing of the sport of cricket in Texas A&M, thereby adding to the international diversity of the Aggies. To bring together all cricket enthusiasts in the university through the club and encourage them to bond over the sport."
Aggie Data Science Club,,,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Projects, Social events",,"Networking, Technical skills",Social,,Interest-driven,aggiedatascience@gmail.com,https://www.aggiedatascience.com,No,"The Aggie Data Science Club (ADSC) is a student-run organization at Texas A&M University where students of any major can grow their skills and passion in data science and machine learning. Our community fosters students to engage in discussions, share ideas, and build connections through networking."
Aggie Eagle Post,,Undergraduate,Undergraduate,,,,Monthly,,,No,,No,Low,Medium,20-50,Service,No,Yes,,Volunteering,,Leadership development,Social,,Interest-driven,sr.aggieeaglepost@gmail.com,https://www.facebook.com/tamuaep/,,"To provide a unit for Eagle Scout, Gold Award, Quartermaster, and Summit recipients in the Corps of Cadets to continue the development of character and leadership skills learned leading to the previously mentioned awards."
Aggie Eco-Representatives,,,Undergraduate,,,,,,,No,,No,Low,Medium,20-50,Service,No,Yes,,"Volunteering, Projects",,"Networking, Leadership development",Social,,Interest-driven,aer@reslife.tamu.edu,https://aggieeco-reps.wixsite.com/aggie-eco-reps,No,"The Aggie Eco-Reps are a student-run, residence-life organization devoted to spreading sustainability on campus. Our mission is to provide students with the education and opportunity to promote and continue sustainability."
Aggie Emeralds,,,Undergraduate,,Women,,,,,,,Yes,Medium,Medium,20-50,Service,No,Yes,,Volunteering,,"Networking, Leadership development",Social,,Interest-driven,emeralds.president@gmail.com,https://aemeralds.wixsite.com/aggieemeralds,No,"Aggie Emeralds seek to serve our campus and outside communities while also bringing together women of all different backgrounds. Emeralds consist of inspiring, passionate and motivated women, and we pride ourselves on upholding our four core values: sisterhood, integrity, empowerment, and compassion."
Aggie Medicine and Engineering Association,"Engineering, Biology, Pre-Med, Health Sciences",,"Junior, Senior, Graduate",,,,Monthly,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Social events, Professional events, Academic events",,"Networking, Mentorship",Professional,,Interest-driven,,,,"The Aggie Engineering Medicine Association (AEMA) aims to create a supportive network of peers and resources for students pursuing a unique career path: combining engineering and medicine. Through social, professional, and academic events, we empower students to thrive in this challenging yet rewarding field."
Aggie Entrepreneurs,"Business, Finance, Accounting, Marketing, Economics",,"Junior, Senior",,,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,Projects,,"Networking, Mentorship",Professional,,Interest-driven,,https://aggieentrepreneurs.com/,No,"Aggie Entrepreneurs is dedicated to advancing Aggie-owned ventures, whether you’re a startup looking to scale, a vendor seeking opportunities to sell on campus, or a student interested in developing their ideas."
Aggie Financial Womens Association,"Business, Finance, Accounting, Marketing, Economics",,"Junior, Senior",,Women,,,,,No,,No,Low,Medium,20-50,Professional,No,Yes,,"Workshops, Social events, Volunteering",,"Networking, Leadership development",Professional,,Interest-driven,AggieFWA@gmail.com,https://aggiefwa.wixsite.com/afwa,No,"Our mission is to elevate women's role in finance by empowering women to become future leaders through networking, leadership, and skill development opportunities."
Aggie Fish Club,,Freshman,Freshman,,,,,,,No,,No,Low,Medium,20-50,Social,No,Yes,,"Social events, Projects",,"Mentorship, Leadership development",Social,,Interest-driven,aggiefishclub@gmail.com,https://aggiefishclub.wixsite.tamu,,"Aggie Fish Club is an organization dedicated to the involvement of freshmen in Texas A&M University. Through weekly meetings, influential speakers, committee projects, Buddy Huddle activities, and leadership retreats, the freshmen are provided opportunities to grow as individuals, students, and Aggie leaders."
Aggie Forensic Investigative Science Organization,,,"Junior, Senior",,,,,,,,,No,Low,Medium,20-50,Academic,No,Yes,,"Workshops, Social events, Projects",,"Networking, Mentorship",Social,,Interest-driven,aggieafis@gmail.com,,,"To spread knowledge to those with an interest in Forensic Science. This organization will provide hands-on experiences in an effort to create a better understanding of Forensic Science in all fields through guest speakers, involved activities, and the creation of connections with those in the industry."
Aggie French Club,,,Undergraduate,,,,,,,,,No,Low,Low,20-50,Cultural,No,Yes,,Social events,,Networking,Social,,Interest-driven,aggiefrancaisclub@gmail.com,http://frenchclub.tamu.edu/,No,"The Aggie French Club aims to promote French Culture and language at Texas A&M University. The club creates opportunities for students to interact with French studies, language, and culture, fostering linguistic and cultural exchange."
